Headings,Names,Codes,English Name,Nepali Name
1.2.1.2.2,Update,update_office_type,Update Office Type,कार्यालयको प्रकाार सच्याउने
1.2.1.2.3,Delete ,delete_office_type,Delete Office Type,कार्यालयको प्रकाार मेटाउने
1.2.2,Listed details,view_listed_details,View Listed details,साुचिकृत बिबरण
1.2.2.1,Listing type,view_listing_type,View Listing type,सुचिकृतको प्रकार हेर्ने
1.2.2.1.1,Create ,create_listing_type,create Listing type,सुचिकृतको प्रकार थप्ने
1.2.2.1.2,Update,update_listing_type,update Listing type,सुचिकृतको प्रकार सच्याउने
1.2.2.1.3,Delete ,delete_listing_type,delete Listing type,सुचिकृतको प्रकार मेटाउने
1.2.2.2,Listed details menu,view_listed_details_menu,View Listed details menu,सुचिकृतको बिबरण हेर्ने
1.2.2.2.1,Create ,create_listed_details_menu,Create Listed details menu,सुचिकृतको बिबरण थप्ने
1.2.2.2.2,Update,update_listed_details_menu,Update Listed details menu,सुचिकृतको बिबरण सच्याउने
1.2.2.2.3,Delete ,delete_listed_details_menu,Delete Listed details menu,सुचिकृतको बिबरण मेटाउने
1.2.3,Road,view_road,Vew Road,सडक हेर्ने
1.2.3.1,Road condition,view_road_condition,View Road condition,सडकको स्थिति हेर्ने
1.2.3.1.1,Create ,create_road_condition,Create Road condition,सडकको स्थिति थप्ने
1.2.3.1.2,Update,upadate__road_condition,Update  Road condition,सडकको स्थिति सच्याउने
1.2.3.1.3,Delete ,delete__road_condition,Delete Road condition,सडकको स्थिति मेटाउने
1.2.3.2,Track type,view_track_type,view Track type,सडकको प्रकार  हेर्ने
1.2.3.2.1,Create,create_track_type,Create Track type,सडकको प्रकार  थप्ने
1.2.3.2.2,Update,update_track_type,Update Track type,सडकको प्रकार  सच्याउने
1.2.3.2.3,Delete,delete_track_type,Delete Track type,सडकको प्रकार  मेटाउने
1.2.3.3,Types of drainage,view_types_of_drainage,ViewTypes of drainage,ढल निकासकाे किसिम हेर्ने
1.2.3.3.1,Create,create_types_of_drainage,Create Types of drainage,ढल निकासकाे किसिम थप्ने
1.2.3.3.2,Update,update_types_of_drainage,Update Types of drainage,ढल निकासकाे किसिम सच्याउने
1.2.3.3.3,Delete,delete_types_of_drainage,Delete Types of drainage,ढल निकासकाे किसिम मेटाउने
1.2.3.4,Road details,view_types_of_road_details,View Road details,सडकको नामावली विवरण हेर्ने
1.2.3.4.1,Create,create_types_of_road_details,Create Road details,सडकको नामावली विवरण थप्ने
1.2.3.4.2,Update,update_types_of_road_details,Update Road details,सडकको नामावली विवरण सच्याउने
1.2.3.4.3,Delete,delete_types_of_road_details,Delete Road details,सडकको नामावली विवरण मेटाउने
1.2.4,Others Description,view_others_description,View Others Description,अन्य विवरण हेर्ने
1.2.4.1,Financial year ,view_types_of_financial year ,View Financial year ,आर्थिक वर्ष हेर्ने
1.2.4.1.1,Create,create_types_of_financial_year ,Create Financial year ,आर्थिक वर्ष थप्ने
1.2.4.1.2,Update,update_types_of_financial_year ,Update Financial year ,आर्थिक वर्ष सच्याउने
1.2.4.1.3,Delete,delete_types_of_financial_year ,Delete Financial year ,आर्थिक वर्ष मेटाउने
1.2.4.2,Currency name ,view_types_of_currency_name ,View Currency name ,मुद्राको नाम हेर्ने
1.2.4.2.1,Create,create_types_of_currency_name ,Create Currency name ,मुद्राको नाम थप्ने
1.2.4.2.2,Update,update_types_of_currency_name ,Update Currency name ,मुद्राको नाम सच्याउने
1.2.4.2.3,Delete,delete_types_of_currency_name ,Delete Currency name ,मुद्राको नाम मेटाउने
1.2.4.3,Thematic scope,view_types_of_thematic_scope,View Thematic scope,विषयगत कार्यक्षेत्र हेर्ने
1.2.4.3.1,Create,create_types_of_thematic_scope,Create Thematic scope,विषयगत कार्यक्षेत्र थप्ने
1.2.4.3.2,Update,update_types_of_thematic_scope,Update Thematic scope,विषयगत कार्यक्षेत्र सच्याउने
1.2.4.3.3,Delete,delete_types_of_thematic_scope,Delete Thematic scope,विषयगत कार्यक्षेत्र मेटाउने
1.2.4.4,Sub-Module,view_types_of_sub-module,View Sub-Module,सहायक मोड्युल हेर्ने
1.2.4.4.1,Create,create_types_of_sub-module,Create Sub-Module,सहायक मोड्युल थप्ने
1.2.4.4.2,Update,update_types_of_sub-module,Update Sub-Module,सहायक मोड्युल सच्याउने
1.2.4.4.3,Delete,delete_types_of_sub-module,Delete Sub-Module,सहायक मोड्युल मेटाउने
1.2.4.5,Newspaper Details,view_types_of_newspaper_details,View Newspaper Details,पत्र-पत्रिका विवरण हेर्ने
1.2.4.5.1,Create,create_types_of_newspaper_details,Create Newspaper Details,पत्र-पत्रिका विवरण थप्ने
1.2.4.5.2,Update,update_types_of_newspaper_details,Update Newspaper Details,पत्र-पत्रिका विवरण सच्याउने
1.2.4.5.3,Delete,delete_types_of_newspaper_details,Delete Newspaper Details,पत्र-पत्रिका विवरण मेटाउने
1.2.4.6,Project Operation Decision,view_types_of_project_operation_decision,View Project Operation Decision,आयोजना सञ्चालन निर्णय हेर्ने
1.2.4.6.1,Create,create_types_of_project_operation_decision,Create Project Operation Decision,आयोजना सञ्चालन निर्णय थप्ने
1.2.4.6.2,Update,update_types_of_project_operation_decision,Update Project Operation Decision,आयोजना सञ्चालन निर्णय सच्याउने
1.2.4.6.3,Delete,delete_types_of_project_operation_decision,Delete  Project Operation Decision,आयोजना सञ्चालन निर्णय मेटाउने
1.2.4.7,Construction Materials Details,view_types_of_construction_materials_details,View Construction Materials Details,निर्माण सामग्रीको विवरण हेर्ने
1.2.4.7.1,Create,create_types_of_construction_materials_details,Create Construction Materials Details,निर्माण सामग्रीको विवरण थप्ने
1.2.4.7.2,Update,update_types_of_construction_materials_details,Update Construction Materials Details,निर्माण सामग्रीको विवरण सच्याउने
1.2.4.7.3,Delete,delete_types_of_construction_materials_details,Delete Construction Materials Details,निर्माण सामग्रीको विवरण मेटाउने
1.3,Budget Source Management,view_budget_source_management,View Budget Source Management,बजेट तथा स्रोत व्यवस्थापन हेर्ने
1.3.1,Budget Subtitle,view_types_of_budget_subtitle,View Budget Subtitle ,बजेट उपशीर्षक हेर्ने
1.3.1.1,Create,create_types_of_budget_subtitle,Create Budget Subtitle ,बजेट उपशीर्षक थप्ने
1.3.1.2,Update,update_types_of_budget_subtitle,Update Budget Subtitle ,बजेट उपशीर्षक सच्याउने
1.3.1.3,Delete,delete_types_of_budget_subtitle,Delete Budget Subtitle ,बजेट उपशीर्षक मेटाउने
1.3.2,Mode of payment,view_mode_of_payment,View Mode Of Payment,भुक्तानी बिधि हेर्ने 
1.3.2.1,Create,create_mode_of_payment,Create Mode Of Payment,भुक्तानी बिधि थप्ने
